yellow,2.05999,-1.99909,0,0,0,0
blue,3.81053,2.11188,0,0,0,0
yellow,4.18098,-1.87092,0,0,0,0
blue,5.65712,2.34400,0,0,0,0
yellow,6.30231,-1.60362,0,0,0,0
blue,7.45882,2.70639,0,0,0,0
yellow,8.42078,-1.17621,0,0,0,0
blue,9.18484,3.21447,0,0,0,0
yellow,10.52969,-0.55268,0,0,0,0
blue,10.78598,3.88654,0,0,0,0
yellow,12.61204,0.32768,0,0,0,0
blue,12.18503,4.73672,0,0,0,0
yellow,14.62004,1.56327,0,0,0,0
blue,13.27968,5.76406,0,0,0,0
yellow,16.41796,3.28390,0,0,0,0
blue,13.98015,6.95754,0,0,0,0
yellow,17.71845,5.53450,0,0,0,0
blue,14.25053,8.31350,0,0,0,0
yellow,18.24378,8.08125,0,0,0,0
blue,14.11378,9.81060,0,0,0,0
yellow,18.04302,10.55964,0,0,0,0
blue,13.63357,11.38882,0,0,0,0
yellow,17.37350,12.80759,0,0,0,0
blue,12.89238,12.98515,0,0,0,0
yellow,16.43648,14.83970,0,0,0,0
blue,11.96374,14.56426,0,0,0,0
yellow,15.34020,16.70890,0,0,0,0
blue,10.90138,16.11349,0,0,0,0
yellow,14.14172,18.45874,0,0,0,0
blue,9.74204,17.63109,0,0,0,0
yellow,12.87349,20.11987,0,0,0,0
blue,8.51096,19.11979,0,0,0,0
yellow,11.55583,21.71377,0,0,0,0
blue,7.22594,20.58380,0,0,0,0
yellow,10.20238,23.25602,0,0,0,0
blue,5.89986,22.02772,0,0,0,0
yellow,8.82294,24.75822,0,0,0,0
blue,4.54254,23.45620,0,0,0,0
yellow,7.42505,26.22949,0,0,0,0
blue,3.16164,24.87362,0,0,0,0
yellow,6.01472,27.67718,0,0,0,0
blue,1.76343,26.28431,0,0,0,0
yellow,4.59711,29.10746,0,0,0,0
blue,-2.48446,30.51837,0,0,0,0
yellow,0.34591,33.34484,0,0,0,0
blue,-3.90314,31.94523,0,0,0,0
yellow,-1.05570,34.75452,0,0,0,0
blue,-5.31569,33.38812,0,0,0,0
yellow,-2.44137,36.16990,0,0,0,0
blue,-6.71715,34.85299,0,0,0,0
yellow,-3.80512,37.59526,0,0,0,0
blue,-8.10173,36.34686,0,0,0,0
yellow,-5.13965,39.03499,0,0,0,0
blue,-9.46234,37.87833,0,0,0,0
yellow,-6.43579,40.49366,0,0,0,0
blue,-10.78988,39.45833,0,0,0,0
yellow,-7.68150,41.97586,0,0,0,0
blue,-12.07174,41.10131,0,0,0,0
yellow,-8.86036,43.48606,0,0,0,0
blue,-13.28969,42.82699,0,0,0,0
yellow,-9.94935,45.02748,0,0,0,0
blue,-14.41500,44.66347,0,0,0,0
yellow,-10.91496,46.59988,0,0,0,0
blue,-15.39846,46.65091,0,0,0,0
yellow,-11.70814,48.19413,0,0,0,0
blue,-16.14784,48.84159,0,0,0,0
yellow,-12.25989,49.78170,0,0,0,0
blue,-16.48766,51.26884,0,0,0,0
yellow,-12.48783,51.30526,0,0,0,0
blue,-16.15854,53.82822,0,0,0,0
yellow,-12.32115,52.69929,0,0,0,0
blue,-15.03115,56.18459,0,0,0,0
yellow,-11.72514,53.93286,0,0,0,0
blue,-13.32315,58.03905,0,0,0,0
yellow,-10.72035,55.00171,0,0,0,0
blue,-11.34877,59.38141,0,0,0,0
yellow,-9.38597,55.89610,0,0,0,0
blue,-9.27815,60.33793,0,0,0,0
yellow,-7.82595,56.61085,0,0,0,0
blue,-7.17354,61.01752,0,0,0,0
yellow,-6.12501,57.15739,0,0,0,0
