yellow,2.24411,-1.98440,0,0,0,0
blue,3.19513,2.35450,0,0,0,0
yellow,4.66004,-1.36760,0,0,0,0
blue,4.50809,3.07166,0,0,0,0
yellow,6.84838,-0.17226,0,0,0,0
blue,5.60275,4.09145,0,0,0,0
yellow,8.67286,1.52740,0,0,0,0
blue,6.41116,5.35036,0,0,0,0
yellow,10.02016,3.62551,0,0,0,0
blue,6.89643,6.83269,0,0,0,0
yellow,10.79306,5.92918,0,0,0,0
blue,7.13090,8.62172,0,0,0,0
yellow,11.09712,8.10298,0,0,0,0
blue,7.37905,10.59615,0,0,0,0
yellow,11.34782,10.09732,0,0,0,0
blue,7.62846,12.58054,0,0,0,0
yellow,11.59724,12.08170,0,0,0,0
blue,7.87788,14.56493,0,0,0,0
yellow,11.84666,14.06609,0,0,0,0
blue,8.12730,16.54931,0,0,0,0
yellow,12.09608,16.05048,0,0,0,0
blue,8.37672,18.53370,0,0,0,0
yellow,12.34549,18.03486,0,0,0,0
blue,8.62614,20.51809,0,0,0,0
yellow,12.59491,20.01925,0,0,0,0
blue,8.87556,22.50247,0,0,0,0
yellow,12.84433,22.00364,0,0,0,0
blue,9.12498,24.48686,0,0,0,0
yellow,13.09375,23.98802,0,0,0,0
blue,9.37440,26.47125,0,0,0,0
yellow,13.34317,25.97241,0,0,0,0
blue,9.62382,28.45563,0,0,0,0
yellow,13.59259,27.95680,0,0,0,0
blue,9.86625,30.37620,0,0,0,0
yellow,13.84899,30.00500,0,0,0,0
blue,9.98239,32.06515,0,0,0,0
yellow,13.97539,32.30157,0,0,0,0
blue,9.71522,33.54722,0,0,0,0
yellow,13.53161,34.74522,0,0,0,0
blue,9.09268,34.90761,0,0,0,0
yellow,12.49400,37.01260,0,0,0,0
blue,8.15287,36.07169,0,0,0,0
yellow,10.92770,38.95273,0,0,0,0
blue,6.95433,36.96713,0,0,0,0
yellow,8.93013,40.44509,0,0,0,0
blue,5.54903,37.54442,0,0,0,0
yellow,6.64787,41.39053,0,0,0,0
blue,3.83867,37.81691,0,0,0,0
yellow,4.41695,41.77489,0,0,0,0
blue,1.89400,38.06093,0,0,0,0
yellow,2.39284,42.02970,0,0,0,0
blue,-0.09038,38.31035,0,0,0,0
yellow,0.40846,42.27912,0,0,0,0
blue,-2.07477,38.55977,0,0,0,0
yellow,-1.57593,42.52854,0,0,0,0
blue,-4.05916,38.80919,0,0,0,0
yellow,-3.56032,42.77796,0,0,0,0
blue,-6.04354,39.05861,0,0,0,0
yellow,-5.54470,43.02738,0,0,0,0
blue,-8.02793,39.30802,0,0,0,0
yellow,-7.52909,43.27680,0,0,0,0
blue,-10.01232,39.55744,0,0,0,0
yellow,-9.51348,43.52622,0,0,0,0
blue,-11.99670,39.80686,0,0,0,0
yellow,-11.49786,43.77563,0,0,0,0
blue,-13.98109,40.05628,0,0,0,0
yellow,-13.48225,44.02505,0,0,0,0
blue,-15.96548,40.30570,0,0,0,0
yellow,-15.46664,44.27447,0,0,0,0
blue,-17.94986,40.55512,0,0,0,0
yellow,-17.45102,44.52389,0,0,0,0
blue,-19.93425,40.80454,0,0,0,0
yellow,-19.43541,44.77331,0,0,0,0
blue,-21.91864,41.05396,0,0,0,0
yellow,-21.41980,45.02273,0,0,0,0
blue,-23.90302,41.30337,0,0,0,0
yellow,-23.40418,45.27215,0,0,0,0
blue,-25.88741,41.55279,0,0,0,0
yellow,-25.38857,45.52157,0,0,0,0
blue,-27.87180,41.80221,0,0,0,0
yellow,-27.37296,45.77099,0,0,0,0
blue,-29.85618,42.05163,0,0,0,0
yellow,-29.35734,46.02040,0,0,0,0
blue,-31.84057,42.30105,0,0,0,0
yellow,-31.34173,46.26982,0,0,0,0
blue,-33.82496,42.55047,0,0,0,0
yellow,-33.32612,46.51924,0,0,0,0
blue,-35.80934,42.79989,0,0,0,0
yellow,-35.31050,46.76866,0,0,0,0
blue,-37.77036,43.04651,0,0,0,0
yellow,-37.31826,47.02088,0,0,0,0
blue,-39.52623,43.23623,0,0,0,0
yellow,-39.53952,47.23621,0,0,0,0
blue,-41.05343,43.07472,0,0,0,0
yellow,-41.97850,46.96628,0,0,0,0
blue,-42.45442,42.54992,0,0,0,0
yellow,-44.31358,46.09161,0,0,0,0
blue,-43.68211,41.69481,0,0,0,0
yellow,-46.35962,44.66649,0,0,0,0
blue,-44.66007,40.56264,0,0,0,0
yellow,-47.98959,42.77947,0,0,0,0
blue,-45.32836,39.22101,0,0,0,0
yellow,-49.10097,40.55045,0,0,0,0
blue,-45.66975,37.59786,0,0,0,0
yellow,-49.61203,38.27498,0,0,0,0
blue,-45.90592,35.70261,0,0,0,0
yellow,-49.87469,36.20145,0,0,0,0
blue,-46.15534,33.71823,0,0,0,0
yellow,-50.12411,34.21706,0,0,0,0
blue,-46.40476,31.73384,0,0,0,0
yellow,-50.37353,32.23268,0,0,0,0
blue,-46.65418,29.74945,0,0,0,0
yellow,-50.62295,30.24829,0,0,0,0
blue,-46.90360,27.76507,0,0,0,0
yellow,-50.87237,28.26390,0,0,0,0
blue,-47.15302,25.78068,0,0,0,0
yellow,-51.12179,26.27952,0,0,0,0
blue,-47.40243,23.79629,0,0,0,0
yellow,-51.37121,24.29513,0,0,0,0
blue,-47.65185,21.81191,0,0,0,0
yellow,-51.62063,22.31074,0,0,0,0
blue,-47.90127,19.82752,0,0,0,0
yellow,-51.87005,20.32636,0,0,0,0
blue,-48.15069,17.84313,0,0,0,0
yellow,-52.11946,18.34197,0,0,0,0
blue,-48.39975,15.86159,0,0,0,0
yellow,-52.36924,16.35474,0,0,0,0
